order_id,order_date,product,category,quantity,price,total_sales,city,store,sales_channel,payment_method,discount,profit
ORD10000,13/07/2024,Office Chair,Furniture,3,39.79,96.69,Abuja,Store A,Offline,Card,0.19,21.08
ORD10001,27/04/2024,Backpack,Accessories,5,229.87,1149.35,Kano,Store A,Offline,Card,0,242.91
ORD10002,04/08/2024,Wireless Mouse,Electronics,5,7.72,30.11,Lagos,Store B,Offline,Mobile Money,0.22,8.18
ORD10003,12/01/2024,Bookshelf,Furniture,2,204.67,331.57,Ibadan,Store A,Online,Transfer,0.19,112.09
ORD10004,09/12/2024,Laptop Stand,Electronics,5,281.25,1251.56,Abuja,Store C,Offline,Mobile Money,0.11,384.87
ORD10005,06/12/2024,Laptop Sleeve,Accessories,1,146.67,118.8,Abuja,Store C,Offline,Card,0.19,23.89
ORD10006,08/07/2024,Laptop Sleeve,Accessories,5,36.84,176.83,Ibadan,Store A,Offline,Card,0.04,54.82
ORD10007,12/04/2024,Desk Organizer,Stationery,2,54.74,102.91,Kano,Store B,Offline,Transfer,0.06,10.61
ORD10008,15/07/2024,Desk Organizer,Stationery,3,199.47,508.65,Kano,Store B,Online,Mobile Money,0.15,143.62
ORD10009,05/09/2024,Bluetooth Speaker,Electronics,3,173.15,493.48,Port Harcourt,Store D,Offline,Card,0.05,111.62
ORD10010,26/10/2024,Desk Organizer,Stationery,5,13.25,62.27,Abuja,Store A,Offline,Card,0.06,8.99
ORD10011,17/05/2024,Wireless Mouse,Electronics,1,138.63,112.29,Lagos,Store B,Offline,Transfer,0.19,19.12
ORD10012,27/11/2024,USB Cable,Electronics,2,80.29,122.04,Port Harcourt,Store D,Offline,Mobile Money,0.24,32.24
ORD10013,12/05/2024,Phone Case,Accessories,1,97.04,88.31,Lagos,Store C,Online,Mobile Money,0.09,26.41
ORD10014,16/08/2024,USB Cable,Electronics,1,122.21,120.99,Kano,Store D,Online,Mobile Money,0.01,41.13
ORD10015,06/08/2024,Office Chair,Furniture,4,204.1,653.12,Lagos,Store C,Online,Cash,0.2,173.05
ORD10016,22/03/2024,Laptop Stand,Electronics,1,258.26,237.6,Ibadan,Store C,Online,Card,0.08,79.55
ORD10017,26/12/2024,Keyboard,Electronics,2,288.85,496.82,Kano,Store A,Offline,Cash,0.14,70.99
ORD10018,09/09/2024,Notebook,Stationery,2,174.15,271.67,Lagos,Store D,Offline,Mobile Money,0.22,67.33
ORD10019,12/04/2024,Laptop Stand,Electronics,5,262.13,1022.31,Port Harcourt,Store B,Offline,Mobile Money,0.22,106.86
ORD10020,17/12/2024,Bookshelf,Furniture,1,252.12,194.13,Kano,Store D,Online,Card,0.23,36.1
ORD10021,19/06/2024,Wireless Mouse,Electronics,2,55.06,84.79,Kano,Store C,Offline,Transfer,0.23,12.99
ORD10022,07/09/2024,Notebook,Stationery,3,74.38,169.59,Abuja,Store A,Offline,Card,0.24,50.01
ORD10023,23/06/2024,Phone Case,Accessories,4,260.52,833.66,Lagos,Store D,Online,Cash,0.2,256.04
ORD10024,22/08/2024,Laptop Stand,Electronics,3,267.78,690.87,Port Harcourt,Store A,Online,Transfer,0.14,228.86
ORD10025,21/01/2024,Keyboard,Electronics,1,32.05,31.09,Abuja,Store B,Offline,Cash,0.03,9.99
ORD10026,10/08/2024,Bluetooth Speaker,Electronics,2,205.86,395.25,Ibadan,Store C,Offline,Mobile Money,0.04,123.02
ORD10027,31/05/2024,Notebook,Stationery,2,197.35,390.75,Kano,Store C,Offline,Mobile Money,0.01,40.1
ORD10028,21/08/2024,Desk Organizer,Stationery,1,23.94,22.02,Lagos,Store C,Online,Mobile Money,0.08,5.51
ORD10029,11/02/2024,Stapler,Stationery,2,164.77,303.18,Port Harcourt,Store A,Offline,Card,0.08,48.99
ORD10030,23/10/2024,Pen Pack,Stationery,4,290.15,1148.99,Port Harcourt,Store B,Offline,Card,0.01,168.56
ORD10031,09/10/2024,USB Cable,Electronics,2,11.01,20.7,Lagos,Store A,Online,Card,0.06,2.44
